#Wavelength (cm)	Flux (erg s-1 cm-3)
1.3880751833870977e-05	62452220519.99746
1.3887692209787912e-05	62382651195.3456
1.3894636055892805e-05	62313047086.0314
1.390158337392075e-05	62243408174.66255
1.390853416560771e-05	62173734443.83802
1.3915488432690513e-05	62104025876.14808
1.3922446176906858e-05	62034282454.174286
1.392940739999531e-05	61964504160.4895
1.3936372103695308e-05	61894690977.65788
1.3943340289747154e-05	61824842888.23485
1.3950311959892026e-05	61754959874.767105
1.3957287115871971e-05	61685041919.792625
1.3964265759429907e-05	61615089005.84066
1.3971247892309621e-05	61545101115.43172
1.3978233516255775e-05	61475078231.07757
1.3985222633013901e-05	61405020335.28124
1.3992215244330407e-05	61334927410.537025
1.399921135195257e-05	61264799439.33044
1.4006210957628546e-05	61353739520.53532
1.401321406310736e-05	61462936590.972786
1.4020220670138913e-05	61572188259.94547
1.4027230780473981e-05	61681494554.75263
1.4034244395864218e-05	61790855502.70721
1.404126151806215e-05	61900271131.13576
1.404828214882118e-05	62009741467.37852
1.405530628989559e-05	62119266538.789406
1.4062333943040536e-05	62228846372.735985
1.4069365110012055e-05	62338480996.59953
1.407639979256706e-05	62448170437.775024
1.4083437992463343e-05	62557914723.671104
1.4090479711459574e-05	62667713881.71012
1.4097524951315303e-05	62777567939.32817
1.410457371379096e-05	62887476923.97503
1.4111626000647855e-05	62997440863.11422
1.4118681813648178e-05	63107459784.22296
1.4125741154555002e-05	63217533714.792274
1.4132804025132278e-05	63327662682.32686
1.4139870427144844e-05	63437846714.34522
1.4146940362358416e-05	63548085838.37959
1.4154013832539594e-05	63658380081.97598
1.4161090839455863e-05	63768729472.69415
1.416817138487559e-05	63879134038.10768
