#Wavelength (cm)	Flux (erg s-1 cm-3)
1.2910245736689974e-05	7992987986.550858
1.2916700859558318e-05	8025358334.647325
1.2923159209988097e-05	8057744867.917847
1.292962078959309e-05	8090147594.455002
1.2936085599987886e-05	8122566522.355421
1.294255364278788e-05	8155001659.719795
1.2949024919609273e-05	8187453014.652851
1.2955499432069076e-05	8219920595.263369
1.296197718178511e-05	8252404409.664194
1.2968458170376001e-05	8284904465.972221
1.2974942399461189e-05	8317420772.308401
1.2981429870660918e-05	8349953336.797747
1.2987920585596248e-05	8382502167.569342
1.2994414545889045e-05	8415067272.756321
1.300091175316199e-05	8449888079.174752
1.300741220903857e-05	8498451967.453147
1.3013915915143089e-05	8547040137.675685
1.3020422873100659e-05	8595652601.983326
1.302693308453721e-05	8644289372.52313
1.3033446551079477e-05	8692950461.448195
1.3039963274355016e-05	8741635880.917728
1.3046483255992193e-05	8790345643.096992
1.3053006497620188e-05	8839079760.157347
1.3059533000868998e-05	8887838244.276236
1.3066062767369432e-05	8936621107.637186
1.3072595798753117e-05	8985428362.429815
1.3079132096652493e-05	9034260020.849838
1.3085671662700819e-05	9083116095.099075
1.309221449853217e-05	9131996597.385437
1.3098760605781434e-05	9180901539.922935
1.3105309986084325e-05	9229830934.931707
1.3111862641077366e-05	9278784794.637974
1.3118418572397904e-05	9327763131.274101
1.3124977781684102e-05	9376765957.078548
1.3131540270574943e-05	9425793284.295893
1.313810604071023e-05	9474845125.176846
1.3144675093730584e-05	9523921491.978237
1.3151247431277448e-05	9573022396.963028
1.3157823054993085e-05	9622147852.40031
1.316440196652058e-05	9671297870.565313
1.317098416750384e-05	9720472463.7394
1.3177569659587591e-05	9769671644.210081
1.3184158444417384e-05	9818895424.270994
1.3190750523639592e-05	9868143816.221937
1.3197345898901411e-05	9917416832.36885
1.3203944571850861e-05	9966714485.023848
1.3210546544136787e-05	10016036786.50517
1.3217151817408855e-05	10065383749.137232
1.3223760393317558e-05	10114755385.250605
1.3230372273514216e-05	10164151707.182037
1.3236987459650972e-05	10213572727.274431
1.3243605953380797e-05	10263018457.876877
1.3250227756357487e-05	10312488911.344625
1.3256852870235665e-05	10361984100.039106
1.3263481296670783e-05	10411504036.32794
1.3270113037319117e-05	10461048732.584904
1.3276748093837777e-05	10510618201.19001
1.3283386467884695e-05	10560212454.529415
1.3290028161118636e-05	10609831504.99548
1.3296673175199194e-05	10659475364.98678
1.3303321511786793e-05	10709144046.90808
1.3309973172542686e-05	10758837563.170341
1.3316628159128956e-05	10808555926.190735
1.332328647320852e-05	10858299148.39264
1.3329948116445123e-05	10908067242.205635
1.3336613090503345e-05	10957860220.065548
1.3343281397048596e-05	11007678094.414387
1.334995303774712e-05	11057520877.700397
1.3356628014265992e-05	11107388582.378052
1.3363306328273124e-05	11157281220.908047
1.3369987981437259e-05	11207198805.757303
1.3376672975427977e-05	11257141349.39899
1.338336131191569e-05	11307108864.31249
1.3390052992571647e-05	11357101362.983456
1.3396748019067933e-05	11407118857.903759
1.3403446393077466e-05	11457161361.571516
1.3410148116274004e-05	11507228886.491108
1.341685319033214e-05	11557321445.173164
1.3423561616927306e-05	11607439050.134556
1.343027339773577e-05	11657581713.898436
1.3436988534434636e-05	11707749448.994188
1.3443707028701853e-05	11757942267.957493
1.3450428882216203e-05	11808160183.33028
1.3457154096657311e-05	11858403207.660759
1.346388267370564e-05	11908671353.503399
1.3470614615042491e-05	11958964633.418953
1.3477349922350012e-05	12009283059.974472
1.3484088597311186e-05	12059626645.743263
1.3490830641609841e-05	12109995403.304945
1.3497576056930645e-05	12160389345.245403
1.350432484495911e-05	12170531336.059895
1.351107700738159e-05	12158093003.557758
1.351783254588528e-05	12145648451.889372
1.3524591462158221e-05	12133197677.945148
1.35313537578893e-05	12120740678.613956
1.3538119434768243e-05	12108277450.783098
1.3544888494485626e-05	12095807991.338326
1.3551660938732868e-05	12083332297.163828
1.3558436769202233e-05	12070850365.142244
1.3565215987586833e-05	12058362192.154652
1.3571998595580625e-05	12045867775.080563
1.3578784594878414e-05	12033367110.79794
1.3585573987175853e-05	12020860196.18317
1.3592366774169441e-05	12008347028.111095
1.3599162957556525e-05	11995827603.454985
1.3605962539035302e-05	11983301919.086546
1.361276552030482e-05	11970769971.875923
1.3619571903064971e-05	11958231758.691694
1.3626381689016503e-05	11945687276.400875
1.363319487986101e-05	11933136521.86891
1.364001147730094e-05	11920579491.959679
1.3646831483039589e-05	11908016183.535494
1.3653654898781107e-05	11895446593.457096
1.3660481726230498e-05	11882870718.583658
1.3667311967093612e-05	11870288555.772785
1.3674145623077158e-05	11857700101.880505
1.3680982695888696e-05	11845105353.76128
1.3687823187236639e-05	11832504308.267994
1.3694667098830257e-05	11819896962.251963
1.3701514432379671e-05	11807283312.562922
1.370836518959586e-05	11794663356.049038
